a	aa
ट्रुक्ट	T r uu k T
ट्रुगल	T r uu g aa l
ट्रुडीट	T r uu D II T
ट्रुवल्स	T r uu w aa l s
ट्रुस्ट	T r uu s T
ट्रॅ	T r ae
ट्रॅकल	T r ae k aa l
ट्रॅग्ड	T r ae g D
ट्रॅड	T r ae D
ट्रॅन	T r ae n
ट्रॅन्क	T r ae n k
ट्रे	T r ee
ट्रेक्ट	T r ee k T
ट्रेनड	T r ee n aa D
ट्रेनेट	T r ee n ee T
ट्रेनेड	T r ee n ee D
ट्रेन्थ	T r ee n th
ट्रेप	T r ee p
ट्रेपिड	T r ee p ii D
ट्रेब्स	T r ee b s
ट्रॉ	T r OO
ट्रॉक	T r OO k
ट्रॉचार	T r OO c AA r
ट्रो	T r oo
ट्रोंक	T r oo q k
ट्रोंस	T r oo q s
ट्रोन	T r oo n
ट्रोपे	T r oo p ee
ट्रोम्बस्टोंस	T r oo m b aa s T oo q s
ट्रोसिट्रिक	T r oo s ii T r ii k
ट्रोसेसिस	T r oo s ee s ii s
ट्र्ल	T r l
ट्स	T s
ठ	Th
ठं	Th aa q
ठंड	Th aa q D
ठंडी	Th aa q D II
ठंढी	Th aa q Dh II
ठंढे	Th aa q Dh ee
ठक	Th aa k
ठग	Th aa g
ठडी	Th aa D II
ठड्डी	Th aa D D II
ठन	Th aa n
ठा	Th AA
ठाणे	Th AA N ee
ठिंकू	Th ii q k UU
ठिक	Th ii k
ठिकू	Th ii k UU
ठिटू	Th ii T UU
ठी	Th II
ठीक	Th II k
ठीकसे	Th II k aa s ee
ठीकू	Th II k UU
ठीच	Th II c
ठु	Th uu
ठुक	Th uu k
ठुग्ड	Th uu g D
ठुग्स	Th uu g s
ठे	Th ee
ठेले	Th ee l ee
ठोकर	Th oo k aa r
ड	D
डंक	D aa q k
डंकी	D aa q k II
डंगर	D aa q g aa r
डक	D aa k
डकर	D aa k aa r
डका	D aa k AA
डज	D aa j
डडि	D aa D ii
डड्न्ट	D aa D n T
डन	D aa n
डबल	D aa b aa l
डम	D aa m
डर	D aa r
डरी	D aa r II
डर्क	D aa r k
डल	D aa l
डलाती	D aa l AA t II
डवरिन्ग	D aa w aa r ii n g
ड़ाटा	D AA T AA
डा	D AA
डांट	D AA q T
डांटते	D AA q T aa t ee
डांटना	D AA q T aa n AA
डाइंक	D AA ii q k
डाइट	D AA ii T
डाउ	D AA uu
डाउन	D AA uu n
डाउनस्ट्रेम	D AA uu n aa s T r ee m
डाक	D AA k
डाग	D AA g
डाट	D AA T
डाटने	D AA T aa n ee
डाटेंगे	D AA T ee q g ee
डानज़िल	D AA n aa j ii l
डायड्डी	D AA y aa D D II
डायनिंग	D AA y aa n ii q g
डार	D AA r
डारस्नेस	D AA r aa s n ee s
डारी	D AA r II
डाल	D AA l
डालती	D AA l aa t II
डालते	D AA l aa t ee
डाला	D AA l AA
डाली	D AA l II
डास	D AA s
डि	D ii
डिंक	D ii q k
डिक	D ii k
डिकम	D ii k aa m
डिकु	D ii k uu
डिकू	D ii k UU
डिकेट	D ii k ee T
डिकेटेड	D ii k ee T ee D
डिग	D ii g
डिचर	D ii c aa r
डिजलि	D ii j aa l ii
डिजिल	D ii j ii l
डिझेल	D ii jh ee l
डिटिक्ट	D ii T ii k T
डिडिंग	D ii D ii q g
डिडीन्	D ii D II n
डिड्टच	D ii D T aa c
डिने	D ii n ee
डिनेन्डेड	D ii n ee n D ee D
डिपींग	D ii p II q g
डिपेंडेन्सी	D ii p ee q D ee n s II
डिफ	D ii ph
डिफिक	D ii ph ii k
डिफिकलि	D ii ph ii k aa l ii
डिफिकल्टस	D ii ph ii k aa l T aa s
डिफिकल्स	D ii ph ii k aa l s
डिफिक्टिव	D ii ph ii k T ii w
डिफिक्ल्स	D ii ph ii k l s
डिफिडन्स	D ii ph ii D aa n s
डिफिडेट	D ii ph ii D ee T
डिफी	D ii ph II
डिफीकल्टस	D ii ph II k aa l T aa s
डिम्रिंग	D ii m r ii q g
डिय	D ii y
डिया	D ii y AA
डिरेड	D ii r ee D
डिल	D ii l
डिलाइटी	D ii l AA ii T II
डिलिव्ह	D ii l ii w hh
डिले	D ii l ee
डिलेटेड	D ii l ee T ee D
डिवाइन	D ii w AA ii n
डिविंग	D ii w ii q g
डिस	D ii s
डिसट्रॅक्ट	D ii s aa T r ae k T
डिसप्ले	D ii s aa p l ee
डिसरिस्पेक्ट	D ii s aa r ii s p ee k T
डिसव्ज	D ii s aa w j
डिसा	D ii s AA
डिसाइड	D ii s AA ii D
डिसाय	D ii s AA y
डिसेडेट	D ii s ee D ee T
डिसेस	D ii s ee s
डिस्कट	D ii s k aa T
डिस्ट	D ii s T
डिस्टर	D ii s T aa r
डिस्पिट	D ii s p ii T
डिस्पीअर्ड	D ii s p II aa r D
डिस्पुट	D ii s p uu T
डिस्पेक्ट	D ii s p ee k T
डिस्पेन्ट	D ii s p ee n T
डी	D II
डीकू	D II k UU
डीको	D II k oo
डीज	D II j
डीजी	D II j II
डीडी	D II D II
डीनीग	D II n II g
डीने	D II n ee
डीप्श्ट	D II p sh T
डीफी	D II ph II
डीफे	D II ph ee
डीव्ट	D II w T
डीष्टे	D II sh T ee
डीस	D II s
डुइ	D uu ii
डुईनेड	D uu II n ee D
डुनट	D uu n aa T
डुबली	D uu b aa l II
डुरेक	D uu r ee k
डूडे	D UU D ee
डून	D UU n
डूसिंग	D UU s ii q g
डॅगेड	D ae g ee D
डॅन	D ae n
डॅनेट	D ae n ee T
डॅन्जलि	D ae n j aa l ii
डॅमन	D ae m aa n
डे	D ee
डेंझल	D ee q jh aa l
डेक	D ee k
डेज़	D ee j
डेजिल	D ee j ii l
डेझल	D ee jh aa l
डेटा	D ee T AA
डेडीड	D ee D II D
डेन	D ee n
डेनटेस्ट	D ee n aa T ee s T
डेनि	D ee n ii
डेनी	D ee n II
डेन्जरिंग	D ee n j aa r ii q g
डेन्ज़	D ee n j
डेन्ड	D ee n D
डेन्ज़ी	D ee n z II
डेन्ज़ेल	D ee n z ee l
डेर	D ee r
डेरिड	D ee r ii D
डेविग	D ee w ii g
डेविड	D ee w ii D
डेश	D ee sh
डेशिनेस	D ee sh ii n ee s
डेसन्स	D ee s aa n s
डेसिटेर	D ee s ii T ee r
डेसेपाइट	D ee s ee p AA ii T
डेस्ट	D ee s T
डेस्टिनी	D ee s T ii n II
डेज़िल	D ee z ii l
डॉ	D OO
डॉक्टर	D OO k T aa r
डॉन	D OO n
डॉमिंग	D OO m ii q g
डो	D oo
डोक	D oo k
डोट	D oo T
डोन	D oo n
डोन्की	D oo n k II
डोळा	D oo l AA
डोहर	D oo hh aa r
ड्र	D r
ड्रक	D r aa k
ड्रनेड	D r aa n ee D
ड्रा	D r AA
ड्राइंड	D r AA ii q D
ड्राइन	D r AA ii n
ड्राईंड	D r AA II q D
ड्राईन	D r AA II n
ड्राईनेड	D r AA II n ee D
ड्राउन	D r AA uu n
ड्राक	D r AA k
ड्राफ	D r AA ph
ड्रायन	D r AA y aa n
ड्रायनेड	D r AA y aa n ee D
ड्रायलिंग	D r AA y aa l ii q g
ड्राविंग	D r AA w ii q g
ड्राॅविंग	D r AA ae w ii q g
ड्रिनाईड	D r ii n AA II D
ड्रिनिड	D r ii n ii D
ड्रिनेड	D r ii n ee D
ड्रिनेनडेड	D r ii n ee n aa D ee D
ड्रिन्कनेड	D r ii n k aa n ee D
ड्रिन्त	D r ii n t
ड्री	D r II
ड्रीईण्ड	D r II II N D
ड्रीन्ट	D r II n T
ड्रीन्ड	D r II n D
ड्रीव	D r II w
ड्रुइंग	D r uu ii q g
ड्रॅ	D r ae
ड्रॅक	D r ae k
ड्रॅज	D r ae j
ड्रॅड	D r ae D
ड्रॅनडेड	D r ae n aa D ee D
ड्रॅन्क्ट	D r ae n k T
ड्रॅप्ड	D r ae p D
ड्रॅम्प	D r ae m p
ड्रॅव	D r ae w
ड्रे	D r ee
ड्रेंझल	D r ee q jh aa l
ड्रेंटेड	D r ee q T ee D
ड्रेंस	D r ee q s
ड्रेक	D r ee k
ड्रेजिल	D r ee j ii l
ड्रेटेद	D r ee T ee d
ड्रेन	D r ee n
ड्रेनिंग	D r ee n ii q g
ड्रेनिड	D r ee n ii D
ड्रेनेड	D r ee n ee D
ड्रेन्क	D r ee n k
ड्रेन्ट	D r ee n T
ड्रेव	D r ee w
ड्रेस्किनिंग	D r ee s k ii n ii q g
ड्रैंग	D r ee q g
ड्रॉ	D r OO
ड्रॉपेड	D r OO p ee D
ड्रों	D r oo q
ड्रोइंग	D r oo ii q g
ड्रोविंग	D r oo w ii q g
ड्रौव	D r OO w
ड्लिंं	D l ii q q
ढ	Dh
ढक	Dh aa k
ढट	Dh aa T
ढत	Dh aa t
ढा	Dh AA
ढाक	Dh AA k
ढाका	Dh AA k AA
ढिस	Dh ii s
ढी	Dh II
ढीले	Dh II l ee
ढुंडो	Dh uu q D oo
ढुंढ	Dh uu q Dh
ढुबली	Dh uu b aa l II
ढूंढते	Dh UU q Dh aa t ee
ढूंढने	Dh UU q Dh aa n ee
ढूंढ़	Dh UU q Dh
ढूंढ़ने	Dh UU q Dh aa n ee
ढेक	Dh ee k
ढोगरी	Dh oo g aa r II
ण	N
णा	N AA
त	t
तंक	t aa q k
तंद्र	t aa q d r
तक	t aa k
तकलीफ	t aa k aa l II ph
तट	t aa T
तन	t aa n
तनि	t aa n ii
तन्नि	t aa n n ii
तपकी	t aa p aa k II
तफ	t aa ph
तब	t aa b
तबलू	t aa b aa l UU
तभी	t aa bh II
तय	t aa y
तया	t aa y AA
तयार	t aa y AA r
तयारी	t aa y AA r II
तय्ड	t aa y D
तर	t aa r
तरने	t aa r aa n ee
तरफ	t aa r aa ph
तरस	t aa r aa s
तरह	t aa r aa hh
तरा	t aa r AA
तराह	t aa r AA hh
तरीका	t aa r II k AA
तरीके	t aa r II k ee
तरे	t aa r ee
तल	t aa l
तला	t aa l AA
तलावाकडे	t aa l AA w AA k aa D ee
तलावाकाठी	t aa l AA w AA k AA Th II
तलाश	t aa l AA sh
तले	t aa l ee
तह	t aa hh
तहानियाँ	t aa hh AA n ii y AA q
तही	t aa hh II
तहें	t aa hh ee q
ता	t AA
ताईड	t AA II D
ताक़त	t AA k aa t
ताकि	t AA k ii
तार	t AA r
तारा	t AA r AA
ताराने	t AA r AA n ee
तारे	t AA r ee
ताल	t AA l
ताला	t AA l AA
ताले	t AA l ee
ताल्य	t AA l y
तावर्स	t AA w aa r s
ति	t ii
तिंकू	t ii q k UU
तिकू	t ii k UU
तिखे	t ii kh ee
तिचर	t ii c aa r
तिची	t ii c II
तिथे	t ii th ee
तिन	t ii n
तिने	t ii n ee
तिल	t ii l
तिला	t ii l AA
तिवो	t ii w oo
तिसी	t ii s II
ती	t II
तींकू	t II q k UU
तीख	t II kh
तीखे	t II kh ee
तीचर	t II c aa r
तीन	t II n
तीनो	t II n oo
तीनों	t II n oo q
तु	t uu
तुकड़ा	t uu k aa D AA
तुकडा	t uu k aa D AA
तुछ	t uu ch
तुट	t uu T
तुटा	t uu T AA
तुटी	t uu T II
तुतड़ा	t uu t aa D AA
तुतरा	t uu t aa r AA
तुदे	t uu d ee
तुब	t uu b
तुम	t uu m
तुमको	t uu m aa k oo
तुमसे	t uu m aa s ee
तुम्ब	t uu m b
तुरंत	t uu r aa q t
तुल	t uu l
तुलिरेट	t uu l ii r ee T
तू	t UU
तूल	t UU l
तृथ	t r uu th
ते	t ee
तेखी	t ee kh II
तेज	t ee j
तेड	t ee D
तेन	t ee n
तेर	t ee r
तेरा	t ee r AA
तेरे	t ee r ee
तेल	t ee l
तेज़	t ee z
तैं	t ee q
तॉम	t OO m
तो	t oo
तोइज	t oo ii j
तोइसेस	t oo ii s ee s
तोट	t oo T
तोटो	t oo T oo
तोड	t oo D
तोड़कर	t oo D aa k aa r
तोत	t oo t
तोता	t oo t AA
तोते	t oo t ee
तोतो	t oo t oo
तोम	t oo m
त्य	t y
त्याच्या	t y AA c y AA
त्रंक	t r aa q k
त्रन	t r aa n
त्राय	t r AA y
त्रि	t r ii
त्रिकाल	t r ii k AA l
त्रित	t r ii t
त्रिप	t r ii p
त्रीक	t r II k
त्रु	t r uu
त्रुअ	t r uu aa
त्रुत	t r uu t
त्रुथ	t r uu th
त्रॅक	t r ae k
त्रॅन्क	t r ae n k
त्रे	t r ee
त्रेयर	t r ee y aa r
त्रो	t r oo
त्रोंस	t r oo q s
त्रोन्स	t r oo n s
थ	th
थंक	th aa q k
थंग	th aa q g
थंडी	th aa q D II
थऊ	th UU
थक	th aa k
थके	th aa k ee
थग्ड	th aa g D
थड	th aa D
थडी	th aa D II
थन	th aa n
थन्डर	th aa n D aa r
थन्डा	th aa n D AA
थफ	th aa ph
थश	th aa sh
थस	th aa s
थस्टिन	th aa s T ii n
था	th AA
थाउंक्ड	th AA uu q k D
थाउट	th AA uu T
थाउस	th AA uu s
थाऊट	th AA UU T
थार	th AA r
थाल	th AA l
थाव	th AA w
थिंक्लि	th ii q k l ii
थिअर	th ii aa r
थिफ्ट	th ii ph T
थिमिट	th ii m ii T
थी	th II
थीं	th II q
थीकू	th II k UU
थुक	th uu k
थुक्त	th uu k t
थुम	th uu m
थुस्ड	th uu s D
थू	th UU
थूक	th UU k
थूम्स	th UU m s
थॅ	th ae
थॅरुंस	th ae r uu q s
थे	th ee
थें	th ee q
थेट	th ee T
थेन	th ee n
थेम	th ee m
थेल	th ee l
थैली	th ee l II
थैलीतून	th ee l II t UU n
थैले	th ee l ee
थॉइट	th OO ii T
थॉउट	th OO uu T
थॉग	th OO g
थॉट	th OO T
थॉट्स	th OO T s
थॉत	th OO t
थॉफ	th OO ph
थॉर	th OO r
थॉर्च	th OO r c
थॉर्ट	th OO r T
थो	th oo
थोइच	th oo ii c
थोईज	th oo II j
थोक	th oo k
थोज	th oo j
थोट	th oo T
थोड़ा	th oo D AA
थोड़ासा	th oo D AA s AA
थोड़ी	th oo D II
थोड़े	th oo D ee
थोडे	th oo D ee
थोत	th oo t
थोथ	th oo th
थोर्ट	th oo r T
थोस्ट	th oo s T
थोड़ा	th oo D AA
थोड़ी	th oo D II
थौ	th OO
थौग्ट	th OO g T
थौर	th OO r
थ्या	th y AA
थ्र	th r
थ्रस्टी	th r aa s T II
थ्रस्टीम	th r aa s T II m
थ्राउ	th r AA uu
थ्राव	th r AA w
थ्राॅन्स	th r AA ae n s
थ्रिड	th r ii D
थ्रीव	th r II w
थ्रीस्ट	th r II s T
थ्रुइंग	th r uu ii q g
थ्रुक	th r uu k
थ्रुट	th r uu T
थ्रुत	th r uu t
थ्रुथ	th r uu th
थ्रूट	th r UU T
थ्रूत	th r UU t
थ्रूथ	th r UU th
थ्रेट	th r ee T
थ्रेनी	th r ee n II
थ्रेष्ट	th r ee sh T
थ्रॉ	th r OO
थ्रॉट	th r OO T
थ्रॉन्ग	th r OO n g
थ्रो	th r oo
थ्रोइ	th r oo ii
थ्रोइच	th r oo ii c
थ्रोइज	th r oo ii j
थ्रोइथ	th r oo ii th
थ्रोक	th r oo k
थ्रोग	th r oo g
थ्रोज	th r oo j
थ्रोट	th r oo T
थ्रोन्ट	th r oo n T
थ्रोन्स	th r oo n s
थ्रोय	th r oo y
थ्रौग	th r OO g
थ्रौड	th r OO D
थ्रौन्गेट	th r OO n g ee T
थ्र्यौ	th r y OO
थ्ली	th l II
द	d
दंडाघर	d aa q D AA gh aa r
दंद	d aa q d
दईं	d II q
दक	d aa k
दगड	d aa g aa D
दट	d aa T
दत	d aa t
दद	d aa d
ददर	d aa d aa r
दद्र	d aa d r
दन	d aa n
दप्तर	d aa p t aa r
दब	d aa b
दबा	d aa b AA
दबोच	d aa b oo c
दम	d aa m
दया	d aa y AA
दयाद्री	d aa y AA d r II
दर	d aa r
दरद	d aa r aa d
दरदे	d aa r aa d ee
दरर	d aa r aa r
दरार	d aa r AA r
दरी	d aa r II
दर्ड	d aa r D
दर्द	d aa r d
दर्शी	d aa r sh II
दव	d aa w
दवा	d aa w AA
दस	d aa s
दा	d AA
दाऊग	d AA UU g
दाक	d AA k
दात	d AA t
दाद	d AA d
दादा	d AA d AA
दादाजी	d AA d AA j II
दादी	d AA d II
दायरे	d AA y aa r ee
दि	d ii
दिअर	d ii aa r
दिए	d ii ee
दिकाई	d ii k AA II
दिकाया	d ii k AA y AA
दिख	d ii kh
दिखता	d ii kh aa t AA
दिखलायी	d ii kh aa l AA y II
दिखा	d ii kh AA
दिखाई	d ii kh AA II
दिखाए	d ii kh AA ee
दिखाऐ	d ii kh AA ee
दिखाया	d ii kh AA y AA
दिखीं	d ii kh II q
दिखे	d ii kh ee
दिखेगा	d ii kh ee g AA
दिगिन	d ii g ii n
दिड	d ii D
दिद	d ii d
दिदि	d ii d ii
दिन	d ii n
दिने	d ii n ee
दिनो	d ii n oo
दिनों	d ii n oo q
दिप	d ii p
दिफेक्टिव	d ii ph ee k T ii w
दिय	d ii y
दिया	d ii y AA
दिये	d ii y ee
दिल	d ii l
दिव्या	d ii w y AA
दिशिश	d ii sh ii sh
दिस	d ii s
दिसाइटेड	d ii s AA ii T ee D
दिसाइदेद	d ii s AA ii d ee d
दिस्पियंट	d ii s p ii y aa q T
दिस्पेक	d ii s p ee k
दिस्सव्ज	d ii s s aa w j
दी	d II
दीए	d II ee
दीचर	d II c aa r
दीजिये	d II j ii y ee
दीड	d II D
दीडा	d II D AA
दीडी	d II D II
दीथीं	d II th II q
दीद	d II d
दीदा	d II d AA
